Champion,StartDate,EndDate,Duration,NumOfMatches,Category,Won,Lost,TotalDurationFrom,TotalDurationTo
yokohamafm,1993/05/15,1993/05/26 00:00:00,11,3,Ｊ１ サントリー,tokyov,hiroshima,0,11
hiroshima,1993/05/26,1993/06/12 00:00:00,17,5,Ｊ１ サントリー,yokohamafm,kashima,0,17
kashima,1993/06/12,1993/06/16 00:00:00,4,1,Ｊ１ サントリー,hiroshima,yokohamaf,0,4
yokohamaf,1993/06/16,1993/06/19 00:00:00,3,1,Ｊ１ サントリー,kashima,shimizu,0,3
shimizu,1993/06/19,1993/06/26 00:00:00,7,2,Ｊ１ サントリー,yokohamaf,nagoya,0,7
nagoya,1993/06/26,1993/06/30 00:00:00,4,1,Ｊ１ サントリー,shimizu,hiroshima,0,4
hiroshima,1993/06/30,1993/07/03 00:00:00,3,1,Ｊ１ サントリー,nagoya,urawa,17,20
urawa,1993/07/03,1993/07/07 00:00:00,4,1,Ｊ１ サントリー,hiroshima,kashima,0,4
kashima,1993/07/07,1993/07/10 00:00:00,3,1,Ｊ１ サントリー,urawa,hiroshima,4,7
hiroshima,1993/07/10,1993/07/14 00:00:00,4,1,Ｊ１ サントリー,kashima,tokyov,20,24
tokyov,1993/07/14,1993/07/24 00:00:00,10,1,Ｊ１ サントリー,hiroshima,yokohamafm,0,10
yokohamafm,1993/07/24,1993/08/04 00:00:00,11,2,Ｊ１ ＮＩＣＯＳ,tokyov,shimizu,11,22
shimizu,1993/08/04,1993/10/02 00:00:00,59,10,Ｊ１ ＮＩＣＯＳ,yokohamafm,yokohamaf,7,66
yokohamaf,1993/10/02,1993/10/16 00:00:00,14,1,ＹＮＣ,shimizu,nagoya,3,17
nagoya,1993/10/16,1993/11/10 00:00:00,25,2,ＹＮＣ,yokohamaf,yokohamaf,4,29
yokohamaf,1993/11/10,1993/11/13 00:00:00,3,1,Ｊ１ ＮＩＣＯＳ,nagoya,shimizu,17,20
shimizu,1993/11/13,1993/11/20 00:00:00,7,2,Ｊ１ ＮＩＣＯＳ,yokohamaf,kashima,66,73
kashima,1993/11/20,1993/12/01 00:00:00,11,2,Ｊ１ ＮＩＣＯＳ,shimizu,urawa,7,18
