id,name,short_name,club_color
kashima,鹿島アントラーズ,鹿島,#b8193f
urawa,浦和レッズ,浦和,#e6002d
kashiwa,柏レイソル,柏,#fff100
ftokyo,ＦＣ東京,FC東京,#11216c
tokyov,東京ヴェルディ,東京V,#006d30
machida,ＦＣ町田ゼルビア,町田,#0054a7
kawasakif,川崎フロンターレ,川崎F,#38a1db
yokohamafm,横浜Ｆ・マリノス,横浜FM,#004098
shimizu,清水エスパルス,清水,#f18900
nagoya,名古屋グランパス,名古屋,#e6002d
kyoto,京都サンガF.C.,京都,#750069
gosaka,ガンバ大阪,G大阪,#00458d
cosaka,セレッソ大阪,C大阪,#da005c
kobe,ヴィッセル神戸,神戸,#a9002e
okayama,ファジアーノ岡山,岡山,#b6003d
hiroshima,サンフレッチェ広島,広島,#51318f
fukuoka,アビスパ福岡,福岡,#001b5b
nagasaki,Ｖ・ファーレン長崎,長崎,#003894
sapporo,北海道コンサドーレ札幌,札幌,#d7000f
hachinohe,ヴァンラーレ八戸,八戸,#00a73c
sendai,ベガルタ仙台,仙台,#fcc800
akita,ブラウブリッツ秋田,秋田,#005bac
yamagata,モンテディオ山形,山形,#1a1a7c
iwaki,いわきＦＣ,いわき,#c01830
tochigic,栃木シティ,栃木C,#000e32
omiya,ＲＢ大宮アルディージャ,大宮,#00164b
yokohamafc,横浜ＦＣ,横浜FC,#00a0e9
shonan,湘南ベルマーレ,湘南,#82c039
kofu,ヴァンフォーレ甲府,甲府,#005bac
niigata,アルビレックス新潟,新潟,#ea5504
toyama,カターレ富山,富山,#003894
iwata,ジュビロ磐田,磐田,#6c9bd2
fujieda,藤枝ＭＹＦＣ,藤枝,#89357c
tokushima,徳島ヴォルティス,徳島,#10234f
imabari,ＦＣ今治,今治,#003273
tosu,サガン鳥栖,鳥栖,#00a0d2
oita,大分トリニータ,大分,#0b318f
miyazaki,テゲバジャーロ宮崎,宮崎,#e62e8b
fukushima,福島ユナイテッドＦＣ,福島,#e60012
tochigi,栃木ＳＣ,栃木SC,#fff100
kusatsu,ザスパ群馬,群馬,#002c5b
sagamihara,ＳＣ相模原,相模原,#005250
matsumoto,松本山雅ＦＣ,松本,#008136
nagano,ＡＣ長野パルセイロ,長野,#eb6100
kanazawa,ツエーゲン金沢,金沢,#d80c1e
gifu,ＦＣ岐阜,岐阜,#00633d
shiga,レイラック滋賀ＦＣ,滋賀,#e50009
fosaka,ＦＣ大阪,FC大阪,#7fcaf1
nara,奈良クラブ,奈良,#011d64
tottori,ガイナーレ鳥取,鳥取,#6eba3d
yamaguchi,レノファ山口ＦＣ,山口,#eb5e00
sanuki,カマタマーレ讃岐,讃岐,#65aadd
ehime,愛媛ＦＣ,愛媛,#f39800
kochi,高知ユナイテッドＳＣ,高知,#b81c22
kitakyushu,ギラヴァンツ北九州,北九州,#fff100
kumamoto,ロアッソ熊本,熊本,#b62013
kagoshima,鹿児島ユナイテッドＦＣ,鹿児島,#182f60
ryukyu,ＦＣ琉球,琉球,#ca0915
mito,水戸ホーリーホック,水戸,#005ca2
yokohamaf,横浜フリューゲルス,横浜F,#ffffff
chiba,ジェフユナイテッド千葉,千葉,#ffe100
